"Model,""Yıl"",""KM"",""Renk"",""Şehir"",""Fiyat"""
"1.6 Roland Garros	,""2000	"",""270.000	"",""Yeşil	"",""Denizli"",""34.750 """
"1.4 Comfort	,""2008	"",""258.000	"",""Beyaz	"",""Ankara"",""55.000 """
"1.4 HDi X-Line	,""2004	"",""206.000	"",""Gümüş Gri	"",""Erzurum"",""36.000 """
"1.4 HDi X-Line	,""2004	"",""194.000	"",""Beyaz	"",""İstanbul"",""39.000 """
"1.6 1.6 CC	,""2001	"",""217.000	"",""Yeşil	"",""Ankara"",""42.000 """
"1.4 X-Line	,""2005	"",""105.800	"",""Siyah	"",""Hatay"",""54.000 """
"1.6 1.6 CC	,""2003	"",""162.000	"",""Gümüş Gri	"",""İstanbul"",""46.500 """
"1.6 1.6 CC	,""2004	"",""270.000	"",""Yeşil	"",""Zonguldak"",""55.250 """
"1.6 XT	,""2000	"",""248.000	"",""Gümüş Gri	"",""Adana"",""51.000 """
"1.4 X-Line	,""2003	"",""147.000	"",""Mavi	"",""İstanbul"",""45.800 """
"1.4 X-Design	,""2006	"",""137.000	"",""Siyah	"",""İstanbul"",""42.000 """
"1.4 XT	,""2004	"",""235.000	"",""Siyah	"",""Erzurum"",""39.900 """
"2.0 GTI	,""2000	"",""199.200	"",""Beyaz	"",""Diyarbakır"",""37.500 """
"1.6 Executive	,""2008	"",""280.000	"",""Gri	"",""İstanbul"",""55.000 """
"1.4 HDi X-Design	,""2006	"",""225.000	"",""Beyaz	"",""İzmir"",""38.000 """
"1.4 Comfort	,""2007	"",""247.000	"",""Gümüş Gri	"",""Kayseri"",""40.000 """
"1.4 HDi X-Line	,""2005	"",""180.000	"",""Kırmızı	"",""Iğdır"",""42.500 """
"1.4 XT	,""2005	"",""125.000	"",""Gri	"",""Uşak"",""51.000 """
"1.4 X-Line	,""2003	"",""137.000	"",""Gri	"",""İstanbul"",""46.750 """
"1.4 HDi X-Line	,""2004	"",""283.000	"",""Beyaz	"",""İzmir"",""36.250 """
"1.4 X-Design	,""2006	"",""115.000	"",""Gümüş Gri	"",""İstanbul"",""50.500 """
"1.4 X-Design	,""2006	"",""99.200	"",""Siyah	"",""İstanbul"",""61.500 """
"1.4 Color Line	,""2002	"",""160.000	"",""Kırmızı	"",""İstanbul"",""37.000 """
"1.4 Comfort	,""2009	"",""60.000	"",""Gri	"",""Eskişehir"",""59.000 """
"1.4 XR	,""2000	"",""263.000	"",""Kırmızı	"",""Çorum"",""33.500 """
"1.4 X-Line	,""2007	"",""201.000	"",""Mavi	"",""Yozgat"",""43.000 """
"1.4 XT	,""2005	"",""154.000	"",""Gri	"",""İstanbul"",""42.750 """
"1.4 HDi X-Line	,""2006	"",""236.000	"",""Beyaz	"",""Kütahya"",""39.999 """
"2.0 GTI	,""2000	"",""268.000	"",""Gri	"",""Adıyaman"",""55.000 """
"1.4 XT	,""2003	"",""225.000	"",""Lacivert	"",""İstanbul"",""41.500 """
"1.4 Comfort	,""2010	"",""240.000	"",""Beyaz	"",""İzmir"",""47.500 """
"1.4 Color Line	,""2002	"",""249.000	"",""Kırmızı	"",""Mersin"",""38.000 """
"1.4 Comfort	,""2008	"",""235.000	"",""Siyah	"",""Ankara"",""45.500 """
"1.6 XT	,""2001	"",""193.000	"",""Gri	"",""İstanbul"",""38.000 """
"1.4 XR	,""2001	"",""207.000	"",""Siyah	"",""Kocaeli"",""36.000 """
"1.4 Executive	,""2008	"",""128.000	"",""Siyah	"",""Balıkesir"",""45.750 """
"1.4 Comfort	,""2008	"",""207.000	"",""Bordo	"",""Düzce"",""35.500 """
"1.4 X-Design	,""2006	"",""152.000	"",""Gümüş Gri	"",""İzmir"",""35.000 """
"1.6 XT	,""2003	"",""174.067	"",""Yeşil	"",""Kırklareli"",""38.500 """
"1.4 Fever	,""2007	"",""134.000	"",""Gri	"",""Bilecik"",""55.000 """
"1.6 XT	,""2002	"",""256.000	"",""Gri	"",""Antalya"",""49.000 """
"1.4 HDi X-Line	,""2004	"",""208.756	"",""Beyaz	"",""Bursa"",""41.500 """
"1.6 1.6 CC	,""2001	"",""290.000	"",""Mavi	"",""Ankara"",""53.500 """
"1.4 XR	,""2000	"",""212.000	"",""Kırmızı	"",""Ankara"",""35.000 """
"1.6 XT	,""2001	"",""257.000	"",""Mavi	"",""Ordu"",""41.000 """
"1.4 HDi Fever	,""2006	"",""219.800	"",""Kırmızı	"",""İstanbul"",""48.750 """
"1.4 XT	,""2005	"",""152.000	"",""Kırmızı	"",""İstanbul"",""45.000 """
"1.4 HDi Feline	,""2005	"",""295.000	"",""Beyaz	"",""İstanbul"",""28.500 """
"1.4 X-Design	,""2004	"",""224.000	"",""Gri	"",""Rize"",""37.500 """
"1.6 1.6 CC	,""2001	"",""255.000	"",""Mavi	"",""Samsun"",""52.500 """
"2.0 GTI	,""2000	"",""227.000	"",""Kırmızı	"",""Nevşehir"",""38.500 """
"1.4 HDi X-Line	,""2004	"",""250.000	"",""Gümüş Gri	"",""Bursa"",""37.500 """
"1.4 Comfort	,""2009	"",""45.517	"",""Siyah	"",""İzmir"",""60.000 """
"1.4 XT	,""2005	"",""198.000	"",""Siyah	"",""İstanbul"",""50.000 """
